col2021,best_match,fuzz_ratio
Response ID,Response ID,100.0
What year were you born?  ,What year were you born?,100.0
What is your gender?  ,What is your gender?,100.0
"How long have you been in your current job?  If you have more than one job, please answer all questions for your main job.  ",How long have you been in your current job?,52.0
Which of the following best describes your industry?  ,Which of the following best describes your industry?,100.0
Which of the following best describes your current occupation?  ,Which of the following best describes your current occupation?,100.0
How many people are currently employed by your organisation?   ,How many people are currently employed by your organisation?,100.0
Which of the following best describes your household?  ,Which of the following best describes your household?,100.0
Metro or Regional,Metro / Regional,91.0
"Thinking about your current job, how much of your work time did you spend working remotely in the last quarter of last year?   This means October-December 2020  If you work a 5 day week, each day of remote working equals 20% of your time.  ","Thinking about your current job, how much of your time did you spend remote working in the last 3 months?",56.0
"How much of your work time would you have preferred to work remotely during the last quarter of last year?   This means October-December 2020  If you work a 5 day week, each day of remote working equals 20% of your time.  ",How much of your time would you have preferred to work remotely in the last 3 months?,54.0
"Thinking about your current job, how much of your work time have you spent working remotely this year?  If you work a 5 day week, each day of remote working equals 20% of your time.  ","Thinking about your current job, how much of your time did you spend remote working last year?",63.0
"How much of your work time would you have preferred to work remotely so far this year?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",How much of your time would you have preferred to work remotely in the last 3 months?,61.0
"Imagine that COVID-19 is cured or eradicated.   Going forward, how much of your work time would you prefer to work remotely?  If you work a 5 day week, each day of remote working equals 20% of your time.  ","Imagine that COVID-19 is cured or eradicated. Going forward, how much of your time would you prefer to work remotely?",73.0
These questions are about the remote working arrangements in your organisation.  Has your employer changed or updated their policy on remote work since COVID-19?   This means since February/March 2020  ,"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - I would recommend remote working to others",48.0
"In the past 6 months, have you ever worked part of your day remotely, and part of it at your employer’s workplace?",How much of your time would you have preferred to work remotely in the last 3 months?,48.0
How often do you work this way?  ,How long have you been in your current job?,47.0
How often would you like to work this way?  ,How much of your time would you have preferred to work remotely last year?,58.0
Does your employer have a policy that workers must be at the employer’s workplace some of the time?  ,How much of your time would you have preferred to work remotely in the last 3 months?,46.0
"How much of your work time does your employer’s policy require you to be at their workplace?  If you work a 5 day week, 1 day equals 20% of your work time.  ",How much of your time would you have preferred to work remotely last year?,48.0
"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My employer’s remote working policy suits me","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - I would recommend remote working to others",71.0
"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I get to choose how much work I do remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",71.0
"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I choose which days I work remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - It was easy to get permission to work remotely",73.0
"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My direct manager has discretion to allow or deny remote work","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - It was common for people in my organisation to work remotely",70.0
How do you feel about your employer’s remote working policy?  ,"Thinking about your current job, how much of your time did you spend remote working last year?",54.0
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My organisation encouraged people to work remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",88.0
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My organisation was well prepared for me to work remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely",89.0
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - It was common for people in my organisation to work remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - It was common for people in my organisation to work remotely",89.0
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - It was easy to get permission to work remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - It was easy to get permission to work remotely",88.0
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I could easily collaborate with colleagues when working remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - I could easily collaborate with colleagues when working remotely",89.0
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - Working remotely reduces my chances of promotion","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - It was easy to get permission to work remotely",79.0
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I take more regular breaks while working remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - I could easily collaborate with colleagues when working remotely",81.0
